"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"174",6033,"California",74.634465498,61.71835632,1.8896755599,10.181355393,13432.4,-2806.652926,51848,"0",1684,"West","Pacific"
"175",6035,"California",76.492909301,43.531334593,9.3014496691,7.2850832484,13243.333333,-771.4490556,60308,"0",1422,"West","Pacific"
"176",6037,"California",80.055852613,58.708656227,1.4529508488,12.337392824,14124.576923,-2271.866507,82455,"0",3938,"West","Pacific"
"177",6039,"California",77.365887046,61.393945176,5.4188903903,13.956814617,12767.285714,-5012.195714,71273,"0",1786,"West","Pacific"
"178",6041,"California",84.703879478,61.67055018,1.1658245282,5.5416515246,21016.571429,1838.3332886,135960,"1",7433,"West","Pacific"
"179",6043,"California",78.512311572,NA,2.6113538803,8.484519283,14933,585.4258,66513,"1",1918,"West","Pacific"
"180",6045,"California",77.247675093,82.940311673,5.9221340266,11.445831494,17407.777778,-4149.636667,63621,"0",2464,"West","Pacific"
"181",6047,"California",76.885047459,46.244812013,7.7115431857,12.450953637,13852.105263,-14248.36132,65253,"0",1710,"West","Pacific"
"182",6049,"California",75.799244181,65.600465252,17.175960327,10.531012941,13134.5,-3343.223,51166,"0",1167,"West","Pacific"
"183",6051,"California",98.902937928,NA,17.237467154,11.85500059,20462,3846.5315,79105,"1",2554,"West","Pacific"
"184",6053,"California",81.298455227,57.906124633,5.0809179784,15.496201061,14796.368421,-8644.799737,91450,"0",3372,"West","Pacific"
"185",6055,"California",81.353002523,69.191314457,2.6299629965,8.9365280584,21853.666667,2787.3836667,98580,"1",4105,"West","Pacific"
"186",6057,"California",79.977868852,79.163188189,8.6130407022,7.2771397921,13103.625,1495.4951875,80069,"1",3135,"West","Pacific"
"187",6059,"California",81.777468014,49.241691942,1.1212585853,9.4108411774,14093.074074,-625.0222519,106047,"0",4499,"West","Pacific"
"188",6061,"California",81.770060302,52.43923345,5.1065319918,4.5956925218,12043.571429,1925.7786643,106114,"1",4062,"West","Pacific"
"189",6063,"California",77.467381788,74.361303509,1.0710775193,6.9279148524,16242,2191.089,66725,"1",1629,"West","Pacific"
"190",6065,"California",78.530495952,42.42254316,6.9654696598,11.60140539,13806.454545,-2768.401536,86350,"0",3144,"West","Pacific"
"191",6067,"California",78.42732168,46.544834689,4.2269674461,7.3416878889,13318.090909,-3204.976618,83985,"0",2687,"West","Pacific"
"192",6069,"California",80.422762074,53.057969294,2.6969636936,9.2152010389,11960.8,-4947.0244,106560,"0",4089,"West","Pacific"
"193",6071,"California",76.07008169,43.145347287,8.5285613952,11.906947949,14599.75,-2353.081741,78779,"0",2474,"West","Pacific"
"194",6073,"California",80.814367636,51.119017638,2.7630608032,8.8538355838,15890.825,-2870.64197,98365,"0",3868,"West","Pacific"
"195",6075,"California",82.894688037,61.379902825,0.302544376,4.8566783419,17415,-1505.725,135366,"0",6485,"West","Pacific"
"196",6077,"California",76.623446774,49.825748927,4.535321312,9.7231338959,13240,-8275.090146,84738,"0",2663,"West","Pacific"
"197",6079,"California",81.229030642,65.696916343,4.0541898322,7.6719856282,15929.111111,-3053.047556,88578,"0",3822,"West","Pacific"
"198",6081,"California",84.469981061,59.092668893,0.919326845,5.4570338725,18450.130435,3264.5665435,143795,"1",6424,"West","Pacific"
"199",6083,"California",80.985798803,53.002846835,2.8816911367,12.305919642,16931.166667,-627.1225833,89334,"0",3643,"West","Pacific"
"200",6085,"California",84.148305821,50.239192726,0.9662712389,5.2679859127,15663.586207,1090.7036241,150502,"1",6650,"West","Pacific"
"201",6087,"California",82.084720571,72.779200851,5.4188617386,8.9847488596,12893.727273,-291.2986545,99256,"0",4672,"West","Pacific"
"202",6089,"California",74.882704807,59.987967249,6.9163622184,8.9573646769,13666.944444,1508.1251389,66312,"1",1843,"West","Pacific"
"203",6091,"California",81.688106903,NA,24.821463632,7.4739281576,15759,2285.006,63939,"1",1522,"West","Pacific"
"204",6093,"California",74.25327814,54.163881462,11.382890917,9.0263647777,13865.454545,-3961.209455,51593,"0",1436,"West","Pacific"
"205",6095,"California",79.438888016,43.705534748,3.7806112006,6.773764491,12281.142857,-1575.106286,92711,"0",3108,"West","Pacific"
"206",6097,"California",81.14083213,54.34153291,2.5819329266,9.0014596212,16125.451613,-2831.882214,96312,"0",3960,"West","Pacific"
"207",6099,"California",75.965128696,47.763608956,3.3693720593,10.932421184,13073.782609,-5667.661845,75249,"0",2097,"West","Pacific"
